"ts","x","y","z"
1.863485190E2,-9.709603190E-1,-2.443355741E-3,7.214789391E-1
1.863585680E2,-1.031398654E0,-3.012066185E-1,4.549889565E-1
1.863686160E2,-9.503166080E-1,-4.600923955E-1,2.198729962E-1
1.863786650E2,-7.030332685E-1,-5.257060528E-1,-5.712585524E-2
1.863887130E2,-3.833200037E-1,-5.192217827E-1,-3.179676235E-1
1.863987620E2,-6.882996112E-2,-4.840754867E-1,-5.098089576E-1
1.864088100E2,1.895426810E-1,-4.608229697E-1,-5.854011774E-1
1.864188590E2,3.289610445E-1,-4.081919789E-1,-5.423477292E-1
1.864289070E2,2.898168564E-1,-2.494670004E-1,-4.071533680E-1
1.864389560E2,8.712793887E-2,3.122432157E-2,-1.907957494E-1
1.864490040E2,-2.238855660E-1,3.445314169E-1,6.522008777E-2
1.864590530E2,-6.002663970E-1,5.773742199E-1,3.157758713E-1
1.864691010E2,-9.381179214E-1,6.298139691E-1,4.602578282E-1
1.864791500E2,-1.133838534E0,5.044872165E-1,4.290253520E-1
1.864891980E2,-1.164896369E0,2.859798670E-1,2.632457316E-1
1.864992470E2,-1.100429177E0,7.408652455E-2,-2.025097143E-3
1.865092950E2,-1.024806261E0,-9.225554019E-2,-3.035087287E-1
1.865193440E2,-9.622595310E-1,-1.897077858E-1,-5.455815196E-1
1.865293920E2,-9.067381620E-1,-2.228103131E-1,-7.115578055E-1
1.865394410E2,-8.909626603E-1,-1.710019708E-1,-8.208150864E-1
1.865494900E2,-8.744362593E-1,-1.170759499E-1,-8.435193300E-1
1.865595380E2,-8.815993667E-1,-5.342480540E-2,-7.846346498E-1
1.865695870E2,-8.854491711E-1,9.620214812E-3,-6.486394405E-1
1.865796350E2,-9.005735517E-1,8.777626604E-2,-5.002102852E-1
1.865896840E2,-9.212172031E-1,1.643302292E-1,-3.694337308E-1
1.865997320E2,-9.398641586E-1,2.228017896E-1,-2.719276845E-1
1.866097810E2,-9.481149912E-1,2.636927068E-1,-2.025759816E-1
1.866198290E2,-9.600672722E-1,2.920937240E-1,-1.618426740E-1
1.866298780E2,-9.806771874E-1,3.234878182E-1,-1.345707774E-1
1.866399260E2,-9.920283556E-1,3.438878953E-1,-1.214182302E-1
1.866499750E2,-9.864717126E-1,3.373240530E-1,-1.000101939E-1
1.866600230E2,-9.560903311E-1,2.944351733E-1,-8.766830713E-2
1.866700720E2,-9.155197144E-1,2.352876812E-1,-8.377945423E-2
1.866801200E2,-8.791531920E-1,1.778608710E-1,-7.646508515E-2
1.866901690E2,-8.699977994E-1,1.356495023E-1,-7.256568223E-2
1.867002170E2,-8.601869941E-1,8.464944363E-2,-4.863185808E-2
1.867102660E2,-8.598881364E-1,1.543738041E-2,-2.552110702E-2
1.867203140E2,-8.712856174E-1,-3.833530471E-2,2.336889505E-3
1.867303630E2,-8.995985389E-1,-7.769840956E-2,3.733716160E-2
1.867404110E2,-9.301391244E-1,-1.034181565E-1,6.690624356E-2
1.867504600E2,-9.248226285E-1,-1.270097792E-1,7.129731774E-2
1.867605080E2,-8.576840758E-1,-1.651798040E-1,5.246503651E-2
1.867705570E2,-7.263431549E-1,-2.006235570E-1,5.240854342E-3
1.867806050E2,-5.965489149E-1,-1.867793798E-1,-7.403665781E-2
1.867906540E2,-5.100997090E-1,-1.527364105E-1,-1.352987438E-1
1.868007030E2,-4.981499016E-1,-1.158721447E-1,-1.292520314E-1
1.868107510E2,-5.667731166E-1,-1.292838156E-1,-5.147148296E-2
1.868208000E2,-6.736071706E-1,-2.040581852E-1,5.137819797E-2
1.868308480E2,-7.906169295E-1,-2.527229786E-1,1.063193232E-1
1.868408970E2,-8.180350065E-1,-1.344570667E-1,6.000642106E-2
1.868509450E2,-6.540854573E-1,1.393598318E-1,-1.615110636E-1
1.868609940E2,-4.613469243E-1,2.656743526E-1,-5.190606713E-1
1.868710420E2,-3.455108106E-1,7.542803138E-2,-8.071590662E-1
1.868810910E2,-3.837061226E-1,-1.413913667E-1,-8.541204333E-1
1.868911390E2,-5.019947886E-1,-1.784620881E-1,-6.820291281E-1
1.869011880E2,-6.614749432E-1,-1.415946186E-1,-4.203573167E-1
1.869112360E2,-8.616852164E-1,-5.805092677E-2,-1.516907662E-1
1.869212850E2,-1.076408982E0,7.918504998E-3,7.806307822E-2
1.869313330E2,-1.257964969E0,-5.067982897E-2,2.389723212E-1
1.869413820E2,-1.357481956E0,-1.740635335E-1,3.541740179E-1
1.869514300E2,-1.357498765E0,-2.322659343E-1,4.067447186E-1
1.869614790E2,-1.271812916E0,-1.179715768E-1,4.469949305E-1
1.869715270E2,-1.135694861E0,1.388134658E-1,4.950249195E-1
1.869815760E2,-9.660232663E-1,4.054182768E-1,5.164292455E-1
1.869916250E2,-7.793131471E-1,5.607123375E-1,4.670318067E-1
1.870016730E2,-5.988432169E-1,5.819993019E-1,3.239811957E-1
1.870117220E2,-4.279462993E-1,5.006504059E-1,1.575965732E-1
1.870217700E2,-2.846048474E-1,3.092255890E-1,2.790328674E-2
1.870318190E2,-1.512370259E-1,1.139889006E-2,-3.698872402E-2
1.870418670E2,-3.702469543E-2,-2.234706134E-1,-5.298606679E-2
1.870519160E2,1.179750916E-2,-3.204958737E-1,9.163742885E-3
1.870619640E2,-6.563388743E-3,-3.294643462E-1,1.207440645E-1
1.870720130E2,-6.108574197E-2,-3.270373940E-1,2.175701559E-1
1.870820610E2,-1.116085649E-1,-3.638569415E-1,3.226009607E-1
1.870921100E2,-1.479088366E-1,-3.872315288E-1,3.658009470E-1
1.871021580E2,-1.630238742E-1,-3.614718318E-1,3.495277166E-1
1.871122070E2,-1.573308259E-1,-2.936544418E-1,3.218947947E-1
1.871222550E2,-1.439700127E-1,-1.974624097E-1,2.975335419E-1
1.871323040E2,-1.253214777E-1,-9.186910838E-2,2.647678852E-1
1.871423520E2,-1.028896645E-1,7.031372748E-3,2.372164130E-1
1.871524010E2,-7.886641473E-2,8.712881058E-2,2.203032076E-1
1.871624490E2,-5.423802882E-2,1.242527440E-1,2.133840621E-1
1.871724980E2,-2.658005618E-2,1.241360754E-1,2.304763198E-1
1.871825460E2,1.260782592E-2,1.027690023E-1,2.356143594E-1
1.871925950E2,4.620899260E-2,6.737672538E-2,2.256937474E-1
1.872026440E2,6.663037837E-2,5.671662837E-2,2.104309052E-1
1.872126920E2,7.824900001E-2,4.554312304E-2,1.830027550E-1
1.872227410E2,1.082034335E-1,4.684373271E-3,1.447397918E-1
1.872327890E2,1.525628418E-1,-8.898414671E-2,1.038062125E-1
1.872428380E2,1.950956583E-1,-2.004131973E-1,5.698464066E-2
1.872528860E2,2.139351368E-1,-2.985187173E-1,4.838665947E-3
1.872629350E2,1.722460091E-1,-3.777852952E-1,-1.903151348E-2
1.872729830E2,9.741439670E-2,-4.225724936E-1,-7.154029794E-3
1.872830320E2,2.325015143E-2,-4.288381040E-1,2.525930293E-2
1.872930800E2,-2.537306026E-2,-3.813933432E-1,7.309814543E-2
1.873031290E2,-5.556824803E-2,-2.990449369E-1,1.354693770E-1
1.873131770E2,-9.622424841E-2,-2.166431993E-1,2.049596012E-1
1.873232260E2,-2.166196257E-1,-1.837771237E-1,2.809534669E-1
1.873332740E2,-4.764645994E-1,-1.995503306E-1,3.960715532E-1
1.873433230E2,-7.130529284E-1,-1.197329909E-1,5.540367365E-1
1.873533710E2,-6.836470962E-1,1.367678195E-1,7.026950717E-1
1.873634200E2,-4.586229920E-1,2.974991500E-1,7.458150983E-1
1.873734680E2,-3.560929000E-1,8.495227993E-2,6.048156619E-1
1.873835170E2,-3.291105628E-1,-2.846175134E-1,3.579241335E-1
1.873935660E2,-2.688206136E-1,-4.920767248E-1,1.395484358E-1
1.874036140E2,-1.822947711E-1,-5.622339845E-1,-3.656507283E-2
1.874136630E2,-1.319120266E-2,-5.482233167E-1,-1.237280965E-1
1.874237110E2,2.139178365E-1,-5.322896242E-1,-1.368359029E-1
1.874337600E2,3.691705167E-1,-5.078104138E-1,-6.457620114E-2
1.874438080E2,3.998469412E-1,-4.270793498E-1,7.613883913E-2
1.874538570E2,3.178730011E-1,-2.575488687E-1,2.189830244E-1
1.874639050E2,1.488158107E-1,4.148176685E-2,2.954977751E-1
1.874739540E2,-9.864010662E-2,3.767108321E-1,2.909216583E-1
1.874840020E2,-3.906165659E-1,5.289810896E-1,2.334868759E-1
1.874940510E2,-6.537920237E-1,4.481621385E-1,1.358403563E-1
1.875040990E2,-8.186789751E-1,2.822898328E-1,-4.616355058E-3
1.875141480E2,-8.727251291E-1,1.146214455E-1,-1.417323500E-1
1.875241960E2,-8.830617070E-1,-6.075463444E-2,-3.127206266E-1
1.875342450E2,-8.859258890E-1,-1.749037802E-1,-4.579475820E-1
1.875442930E2,-8.572968841E-1,-1.970437020E-1,-5.769730210E-1
1.875543420E2,-8.214683533E-1,-1.429589242E-1,-6.700733900E-1
1.875643900E2,-8.071410656E-1,-7.998102903E-2,-7.329437137E-1
1.875744390E2,-8.034672737E-1,-3.095651232E-2,-7.174702883E-1
1.875844870E2,-8.073128462E-1,-7.727090269E-3,-6.331631541E-1
1.875945360E2,-8.231464028E-1,3.383472189E-2,-5.276896358E-1
1.876045850E2,-8.325359225E-1,9.257739782E-2,-4.068276584E-1
1.876146330E2,-8.340004086E-1,1.616174430E-1,-3.112728596E-1
1.876246820E2,-8.269928098E-1,2.204935402E-1,-2.312067747E-1
1.876347300E2,-8.219591379E-1,2.724055052E-1,-1.687393039E-1
1.876447790E2,-8.154410720E-1,3.091725707E-1,-1.178875715E-1
1.876548270E2,-8.243266940E-1,3.358284831E-1,-7.593059540E-2
1.876648760E2,-8.249349594E-1,3.425742686E-1,-4.172654822E-2
1.876749240E2,-8.085036874E-1,3.166475892E-1,-1.961336844E-2
1.876849730E2,-7.795072198E-1,2.752759159E-1,2.433877438E-3
1.876950210E2,-7.491645813E-1,2.289829552E-1,2.239698917E-2
1.877050700E2,-7.298731804E-1,1.761823297E-1,3.915972635E-2
1.877151180E2,-7.199100256E-1,1.266317517E-1,6.336013973E-2
1.877251670E2,-7.176951170E-1,7.613983005E-2,8.236951381E-2
1.877352150E2,-7.148607373E-1,4.614769481E-3,9.175918251E-2
1.877452640E2,-7.259789109E-1,-8.181892335E-2,8.880973607E-2
1.877553120E2,-7.263282537E-1,-1.549948901E-1,8.441195637E-2
1.877653610E2,-6.794095039E-1,-2.050684541E-1,6.039210409E-2
1.877754090E2,-5.750758052E-1,-2.443478405E-1,6.303559057E-3
1.877854580E2,-4.089531600E-1,-2.326515019E-1,-7.072678208E-2
1.877955060E2,-2.657332122E-1,-1.379231662E-1,-1.557406336E-1
1.878055550E2,-1.999483258E-1,8.186629042E-3,-1.937873513E-1
1.878156040E2,-2.114854157E-1,1.196287274E-1,-1.856902093E-1
1.878256520E2,-2.569175959E-1,1.330007166E-1,-1.610509157E-1
1.878357010E2,-3.118428290E-1,6.550351530E-2,-1.534365118E-1
1.878457490E2,-2.973283529E-1,8.149926364E-2,-2.116526812E-1
1.878557980E2,-2.320641726E-1,2.749698758E-1,-3.675886989E-1
1.878658460E2,-1.411680877E-1,4.015898705E-1,-5.819699764E-1
1.878758950E2,-5.619217455E-2,2.856894135E-1,-7.627578974E-1
1.878859430E2,-4.261697456E-2,7.944168895E-2,-8.179447055E-1
1.878959920E2,-1.139740348E-1,-6.246372592E-3,-7.190290093E-1
1.879060400E2,-2.370669395E-1,2.593420073E-2,-5.177726150E-1
1.879160890E2,-4.205290973E-1,7.978631556E-2,-2.441658825E-1
1.879261370E2,-6.307851672E-1,1.130148470E-1,3.548546508E-2
1.879361860E2,-8.417496681E-1,1.161884815E-1,2.797584236E-1
1.879462340E2,-1.013950109E0,9.293668717E-2,4.701424837E-1
1.879562830E2,-1.114693046E0,3.526722640E-2,5.736087561E-1
1.879663310E2,-1.119064331E0,-2.390049025E-2,6.233864427E-1
1.879763800E2,-1.029566169E0,-1.933180168E-2,6.088957191E-1
1.879864280E2,-8.987588286E-1,8.210933208E-2,5.617929697E-1
1.879964770E2,-7.307413220E-1,2.656139433E-1,4.799287915E-1
1.880065250E2,-5.446777344E-1,4.489299655E-1,3.158551753E-1
1.880165740E2,-3.618964553E-1,5.692742467E-1,1.070595682E-1
1.880266230E2,-1.931886673E-1,5.849498510E-1,-4.216080531E-2
1.880366710E2,-7.528919727E-2,4.561687112E-1,-9.617701173E-2
1.880467200E2,1.447123243E-3,2.421592027E-1,-7.189164311E-2
1.880567680E2,3.333074972E-2,4.103673995E-2,-2.710545436E-3
1.880668170E2,2.779350430E-2,-1.132098213E-1,7.210484147E-2
1.880768650E2,7.924939506E-3,-2.247214913E-1,1.375275254E-1
1.880869140E2,4.683073144E-3,-2.860335708E-1,2.070107311E-1
1.880969620E2,-1.098341774E-3,-3.295226991E-1,2.722606063E-1
1.881070110E2,-1.018611249E-2,-3.509366512E-1,2.951142788E-1
1.881170590E2,-1.583870314E-2,-3.495912552E-1,3.123088777E-1
1.881271080E2,-1.936605945E-2,-3.364581168E-1,3.209918439E-1
1.881371560E2,-8.203148842E-3,-2.858167887E-1,2.917733192E-1
1.881472050E2,2.648167312E-3,-2.161208093E-1,2.645494342E-1
